Xeff (cm),Xeff_std,Count Rate (s^-1),countrate_std,Energy (MeV),energy_std,Energy Squared (MeV^2),e2_std
0.3042842105263158,0.009390115699669818,25.044444444444444,0.7460182369597564,5.287251428571429,0.06428850388097616,27.955027668930622,0.6798189679708222
0.5397157894736843,0.016635585168722412,24.555555555555557,0.7387008950486517,5.063483764705882,0.06513815197549486,25.638867835440056,0.6596519499817252
0.8456657894736843,0.02605723261471556,23.377777777777776,0.7207677662323047,4.772585047528517,0.06533793008528621,22.77756803589278,0.6236616563230013
1.2587815789473682,0.03878160682652398,23.977777777777778,0.7299585646958596,4.355737469879518,0.06466829428477044,18.972448906512426,0.5633562250587402
1.6235894736842102,0.05001887157713991,25.511111111111113,0.7529366376043296,3.9659516986062724,0.06773714749283893,15.728772875677977,0.5372845103159364
1.9545263157894737,0.060213086587542514,24.622222222222224,0.7397029767596995,3.587736471119134,0.07015695811266848,12.871852986198377,0.5034093546471962
2.3487631578947368,0.07235739370529258,23.644444444444446,0.7248669524577818,3.108690780075188,0.07031253475492769,9.663958366124483,0.43715985703271987
2.629171052631579,0.08099532437729587,24.31111111111111,0.7350149070462767,2.719317257769653,0.07649759782701239,7.394686348403865,0.41604247589783416
2.946781578947369,0.09077932976320996,22.68888888888889,0.7100686803853536,2.2526416748286,0.07995895759341597,5.074394515174599,0.36023776030156307
3.1872105263157895,0.09818578060926345,25.622222222222224,0.7545745265044287,1.8556930355594103,0.08606625860822927,3.443596642223699,0.3194251133918924
3.4592894736842106,0.10656723606870969,22.488888888888887,0.7069321653594163,1.338969090909091,0.1019934816210505,1.7928382264099176,0.27313223872958214
3.745250000000001,0.11537633614469871,20.266666666666666,1.1623730516108464,0.6758954605263158,0.1028316129489776,0.4568346735600805,0.13900684078162615
3.747471052631579,0.1154447564054327,22.2,0.7023769168568492,0.6675372972972974,0.11991912360636298,0.44560604328298037,0.16010097533290416
3.8124368421052637,0.11744604944009769,23.955555555555556,0.7296202293058668,0.5424459461966604,0.11002959272349809,0.2942476045451902,0.1193702130690622
3.8912842105263157,0.11987497021221527,17.666666666666668,0.6265720968831859,0.3982555094339623,0.0834584853973687,0.15860745079450486,0.06647560323703196
3.9529184210526314,0.12177363437151363,7.088888888888889,0.39690157998870557,0.3310167398119122,0.052594375609215316,0.10957208203570719,0.03481923749321122
4.004557894736842,0.12336440752071196,0.8666666666666667,0.13877773329774218,0.3087933333333333,0.039198098979311854,0.09535332271111109,0.024208223288303275
4.248318421052632,0.13087354634650292,0.0,0.0,-0.00568,0.02777,3.2262400000000005e-05,0.0003154672
