Pressure (mmHg),pressure_std,Mean Channel,channel_std,Total Counts,counts_std,Trial Lenght (s)
50.4,0.171,948.4430856067733,6.585304392427971,1063,32.60368077380221,45
121.8,0.2259,885.5185856754307,6.868758618739973,1103,33.21144381083123,45
191.3,2.746,819.9655172413793,7.584053480870303,1102,33.19638534539566,45
272.6,0.01573,741.1491071428571,8.541500532439441,1120,33.46640106136302,45
350.3,0.04835,660.3087431693989,10.330880021902018,1098,33.13608305156178,45
429.0,0.02874,572.2325158946412,10.376319540348872,1101,33.18132004607411,45
498.2,0.06014,488.5541463414634,11.893070123151293,1025,32.01562118716424,45
576.3,1.557,383.3361423220974,13.939016621313627,1068,32.68026927673638,45
659.7,0.01931,251.08147429679923,17.152682194305495,1031,32.109188716004645,45
709.7,0.01207,151.72250252270433,19.41180183933449,991,31.480152477394387,45
726.4,0.005761,114.49669499527856,20.92345730428401,1059,32.54228019054596,45
741.2,0.04926,83.56209850107066,17.82510494988003,934,30.56141357987225,45
749.7,0.006893,70.77572559366754,13.424364164957993,758,27.53179979587241,45
759.6,0.008792,61.35694050991501,8.507458067141226,353,18.788294228055936,45
770.8,0.00877,52.05263157894737,1.9049432706161955,19,4.358898943540674,45
782.0,0.07113,0,0,0,0.0,45
