Xeff (cm),Xeff_std,Count Rate (s^-1),countrate_std,Energy (MeV),energy_std,Energy Squared (MeV^2),e2_std
0.27985263157894735,0.008673182733371544,23.622222222222224,0.7245262394178269,5.296116848541863,0.06591102706576564,28.048853673408995,0.6981450018954003
0.6763105263157895,0.02087193560190549,24.511111111111113,0.7380320846851384,4.944368893925658,0.0646443397179328,24.44678375921963,0.6392509249394198
1.0622184210526318,0.03610042179578786,24.488888888888887,0.7376974521199036,4.577927241379311,0.06500979273764171,20.95741782736279,0.5952202022601457
1.5136473684210527,0.0466290291714104,24.88888888888889,0.7436978013636227,4.137343508928572,0.06637276923401217,17.117611310873386,0.5492138919199085
1.9450868421052634,0.059920338276971935,24.4,0.7363574011458174,3.6854458743169403,0.0719808433201172,13.582511292519756,0.5305630040879601
2.382078947368421,0.07338175246902438,24.466666666666665,0.7373626676905358,3.1930997638510448,0.07030630764067544,10.195886101905598,0.4489901086493593
2.766321052631579,0.08521907532626471,22.77777777777778,0.7114582486036498,2.725337678048781,0.07602356586958128,7.42746545939232,0.4143797769679864
3.199981578947368,0.09895601653216857,23.733333333333334,0.7262282061496974,2.1371690355805244,0.08488157116343038,4.5674914866441885,0.36281253116381634
3.6630710526315795,0.11284347199227811,22.91111111111111,0.7135375270223254,1.3978654413191078,0.10059949142146044,1.9540277920342641,0.2812491049446752
3.9407026315789477,0.12139607113183179,22.022222222222222,0.6995589439420975,0.8424487891019172,0.11226210413866941,0.7097199622592866,0.18915014738731076
4.0334315789473685,0.1242526356966774,23.533333333333335,0.7231617820121324,0.6343565250236072,0.12034797697745922,0.4024082008400264,0.1526870489380842
4.115610526315789,0.12678450557308313,20.755555555555556,0.6791425239971611,0.46143213062098504,0.10352287184521419,0.2129196111694218,0.09553755864708074
4.162807894736843,0.128238163606458,16.844444444444445,0.6118177732416091,0.3899563060686016,0.0800927903657053,0.15206592064266888,0.06246537734747464
4.217778947368421,0.12993158811861458,7.844444444444444,0.41751764951235415,0.3373052974504249,0.0551551825263849,0.11377486368811963,0.03720827049598947
4.279968421052631,0.13184737741386282,0.4222222222222222,0.09686442096757053,0.2852942105263158,0.02985375945345401,0.08139278655983381,0.0170342094690314
4.342157894736842,0.13376374098512098,0.0,0.0,-0.00568,0.02777,3.2262400000000005e-05,0.0003154672
