Xeff (cm),Xeff_std,Count Rate (s^-1),countrate_std,Energy (MeV),energy_std,Energy Squared (MeV^2),e2_std
0.2820736842105263,0.00870751656707783,23.644444444444446,0.7248669524577818,5.294107584586467,0.06447639227884737,28.027575117175953,0.6826899147804363
0.6424394736842106,0.01979118802608627,22.866666666666667,0.7128451081042418,4.963487755102041,0.06721990479835137,24.6362106950479,0.6672903487314839
1.0411184210526316,0.03207675827570422,23.466666666666665,0.7221367470787521,4.5816825662878795,0.06465676761758678,20.99181513822629,0.5924735699720481
1.3909342105263158,0.04285116381906757,23.066666666666666,0.7159557197149784,4.224425944123315,0.06515406893988808,17.84577455738216,0.5504770783897245
1.4403526315789472,0.04437489749266643,14.933333333333334,0.5760658398584765,4.172620401785715,0.06685574446214376,17.410761017398382,0.5579272866386268
1.4470157894736844,0.04457964041359235,23.355555555555554,0.7204251145532145,4.166842797335871,0.06579960480434287,17.362578897709827,0.5483532186930458
1.5030973684210525,0.04630549450636874,24.533333333333335,0.7383665655927177,4.105673858695653,0.06646953697585897,16.85655783397685,0.5458044807227765
1.7657368421052633,0.05439645399766866,22.244444444444444,0.7030796453136167,3.820325974025974,0.0664363347282946,14.594890547817508,0.5076169103631755
2.003389473684211,0.06171679952986117,24.644444444444446,0.7400367024598539,3.571965365193869,0.06749075476582597,12.75893657014457,0.48214927698864685
2.219386842105263,0.06837086515705074,23.22222222222222,0.718365772233094,3.2843265358851674,0.06943697986639791,10.786800794319465,0.45610743109386953
2.281021052631579,0.0702688584227433,24.42222222222222,0.7366926424111456,3.2399940400363967,0.07086021470512736,10.497561379471371,0.4591733466406242
2.3276631578947367,0.07170629891432904,25.511111111111113,0.7529366376043296,3.1504934059233456,0.07345004192910354,9.925608700766482,0.46280774552486786
2.3470973684210525,0.07230514889930158,23.355555555555554,0.7204251145532145,3.123720076117983,0.07104001766164961,9.757627113942538,0.44381825875494196
2.433163157894737,0.07495539397224062,23.22222222222222,0.718365772233094,3.0519911578947374,0.07001354668292882,9.31465002786766,0.42736145081829835
2.789642105263158,0.0859373314637742,22.88888888888889,0.7131914015947206,2.5321528640776703,0.07699803859716213,6.411798127056748,0.3899416079243342
3.112805263157895,0.09589238173589551,24.288888888888888,0.7346789002140685,2.032552653247942,0.0820185691302404,4.131270288225248,0.3334141206025397
3.5175921052631587,0.10836326472389293,23.622222222222224,0.7245262394178269,1.2853470649106304,0.0993814634032571,1.6521170772743725,0.2554793445837995
3.6580736842105264,0.11268956801937975,21.933333333333334,0.6981456921068893,0.9590395947315097,0.10657382812068356,0.9197569442627783,0.20441704185969187
3.664736842105263,0.11289478252160608,22.044444444444444,0.699911811023272,0.9412107762096774,0.12089001269186314,0.8858777252532235,0.22756596536341253
3.825207894736842,0.11783822483183094,21.733333333333334,0.6949553676049729,0.5509022392638037,0.1136209514356195,0.30349327722587316,0.12518807314633335
3.8779578947368423,0.1194632094602359,20.644444444444446,0.6773222512945853,0.4482171689989236,0.09639786584611655,0.20089863058540966,0.08641435705416878
3.9384815789473686,0.12132763415648347,11.71111111111111,0.5101440125888443,0.35708660341555976,0.0661687670376181,0.12751084233886126,0.047255960547317
3.9779052631578944,0.12254212272029143,6.555555555555555,0.3816792008292815,0.326366,0.05014576450234165,0.106514765956,0.03273174515514247
3.990676315789474,0.12293556577946012,3.1555555555555554,0.26480833972917744,0.31684725352112675,0.04421448965226154,0.10039218206388116,0.028018479224314694
4.041205263157894,0.12449214458566875,0.13333333333333333,0.05443310539518173,0.285,0.028444475177288753,0.08122499999999999,0.01621335085105459
4.161142105263158,0.12818701521385864,0.0,0.0,-0.00568,0.02777,3.2262400000000005e-05,0.0003154672
4.343823684210526,0.133815625711487,0.0,0.0,-0.00568,0.02777,3.2262400000000005e-05,0.0003154672
