Pressure (mmHg),pressure_std,Mean Channel,channel_std,Total Counts,counts_std,Trial Lenght (s)
54.8,0.1,946.8571428571429,6.069839031967963,1127,33.57082066318904,45
97.2,0.1,906.8271493212669,6.798321959600835,1105,33.24154027718932,45
152.3,0.1,854.7880228136883,7.367829638450429,1052,32.43454948045371,45
226.7,0.1,780.2177942539388,7.817888896219221,1079,32.848135411313685,45
292.4,0.1,710.4886759581882,9.073300648499592,1148,33.88214869219483,45
352.0,0.1,642.8294223826715,10.01139967702184,1108,33.28663395418648,45
423.0,0.1,557.1325187969925,10.44230095787128,1064,32.61901286060018,45
473.5,0.1,487.4771480804388,11.993406502941513,1094,33.075670817082454,45
530.7,0.1,403.9931439764936,12.924589233847927,1021,31.953090617340916,45
574.0,0.1,332.98265394622723,14.269663266789074,1153,33.95585369269929,45
623.0,0.1,240.54545454545453,17.42587092120673,1012,31.811947441173732,45
674.5,0.1,121.92763157894737,17.67900999464002,304,17.435595774162696,15
674.9,0.1,120.43243243243244,20.841870663689264,999,31.606961258558215,45
686.6,0.1,98.0547309833024,19.026145736541395,1078,32.83291031876401,45
700.8,0.1,72.26037735849057,14.064590529974184,795,28.19574435974337,45
711.9,0.1,60.23197492163009,7.972294080262743,319,17.86057109949175,45
721.2,0.1,56.256410256410255,4.9236110821327,39,6.244997998398398,45
765.1,0.1,0,0,0,0.0,15
